"entrées et plats composés";"salades composées et crudités"
"entrées et plats composés";"soupes"
"entrées et plats composés";"plats composés"
"entrées et plats composés";"pizzas, tartes et crêpes salées"
"entrées et plats composés";"sandwichs"
"entrées et plats composés";"feuilletées et autres entrées"
"fruits, légumes, légumineuses et oléagineux";"légumes"
"fruits, légumes, légumineuses et oléagineux";"pommes de terre et autres tubercules"
"fruits, légumes, légumineuses et oléagineux";"légumineuses"
"fruits, légumes, légumineuses et oléagineux";"fruits"
"fruits, légumes, légumineuses et oléagineux";"fruits à coque et graines oléagineuses"
"produits céréaliers";"pâtes, riz et céréales"
"produits céréaliers";"pains et viennoiseries"
"produits céréaliers";"céréales de petit-déjeuner et biscuits"
"produits céréaliers";"gâteaux et pâtisseries"
"produits céréaliers";"farines et pâtes à tarte"
"viandes, œufs, poissons";"viandes cuites"
"viandes, œufs, poissons";"viandes crues"
"viandes, œufs, poissons";"charcuteries"
"viandes, œufs, poissons";"autres produits à base de viande"
"viandes, œufs, poissons";"poissons cuits"
"viandes, œufs, poissons";"poissons crus"
"viandes, œufs, poissons";"mollusques et crustacés cuits"
"viandes, œufs, poissons";"mollusques et crustacés crus"
"viandes, œufs, poissons";"produits à base de poissons et produits de la mer"
"viandes, œufs, poissons";"œufs"
"lait et produits laitiers";"laits"
"lait et produits laitiers";"produits laitiers frais et assimilés"
"lait et produits laitiers";"fromages"
"lait et produits laitiers";"crèmes et spécialités à base de crème"
"boissons";"eaux"
"boissons";"boissons sans alcool"
"boissons";"boisson alcoolisées"
"produits sucrés";"sucres, miels et assimilés"
"produits sucrés";"chocolats et produits à base de chocolat"
"produits sucrés";"confiseries non chocolatées"
"produits sucrés";"confitures et assimilés"
"glaces et sorbets";"glaces"
"glaces et sorbets";"sorbets"
"glaces et sorbets";"desserts glacés"
"matières grasses";"beurres"
"matières grasses";"huiles et graisses végétales"
"matières grasses";"margarines"
"matières grasses";"huiles de poissons"
"matières grasses";"autres matières grasses"
"aides culinaires et ingrédients divers";"sauces"
"aides culinaires et ingrédients divers";"condiments"
"aides culinaires et ingrédients divers";"aides culinaires"
"aides culinaires et ingrédients divers";"sels"
"aides culinaires et ingrédients divers";"épices"
"aides culinaires et ingrédients divers";"herbes"
"aides culinaires et ingrédients divers";"algues"
"aides culinaires et ingrédients divers";"denrées destinées à une alimentation particulière"
"aides culinaires et ingrédients divers";"ingrédients divers"
"aliments infantiles";"laits et boissons infantiles"
"aliments infantiles";"petits pots salés et plats infantiles"
"aliments infantiles";"desserts infantiles"
"aliments infantiles";"céréales et biscuits infantiles"
